vehicle.micro.microlino ['microlino', 'vehicle', 'micro']
static.prop.brokentile04 ['brokentile04', 'static', 'prop']
vehicle.chevrolet.impala ['impala', 'vehicle', 'chevrolet']
vehicle.mini.cooper_s ['cooper_s', 'vehicle', 'mini']
vehicle.mercedes.coupe ['coupe', 'vehicle', 'mercedes']
vehicle.dodge.charger_police ['charger_police', 'vehicle', 'dodge']
vehicle.nissan.patrol ['patrol', 'vehicle', 'nissan']
vehicle.seat.leon ['leon', 'vehicle', 'seat']
static.prop.barbeque ['barbeque', 'static', 'prop']
vehicle.toyota.prius ['prius', 'vehicle', 'toyota']
vehicle.yamaha.yzf ['yzf', 'vehicle', 'yamaha']
vehicle.bh.crossbike ['crossbike', 'vehicle', 'bh']
static.prop.haybalelb ['haybalelb', 'static', 'prop']
vehicle.lincoln.mkz_2017 ['mkz_2017', 'vehicle', 'lincoln']
walker.pedestrian.0038 ['0038', 'walker', 'pedestrian']
static.prop.bench01 ['static', 'bench01', 'prop']
vehicle.diamondback.century ['century', 'vehicle', 'diamondback']
vehicle.tesla.model3 ['model3', 'vehicle', 'tesla']
vehicle.volkswagen.t2 ['t2', 'vehicle', 'volkswagen']
walker.pedestrian.0042 ['0042', 'walker', 'pedestrian']
static.prop.kiosk_01 ['kiosk_01', 'static', 'prop']
vehicle.ford.mustang ['mustang', 'vehicle', 'ford']
static.prop.platformgarbage01 ['platformgarbage01', 'static', 'prop']
walker.pedestrian.0025 ['0025', 'walker', 'pedestrian']
vehicle.dodge.charger_2020 ['charger_2020', 'vehicle', 'dodge']
vehicle.ford.ambulance ['ambulance', 'vehicle', 'ford']
static.prop.aporosatree ['aporosatree', 'static', 'prop']
vehicle.mercedes.coupe_2020 ['coupe_2020', 'vehicle', 'mercedes']
static.prop.streetsign ['streetsign', 'static', 'prop']
vehicle.mercedes.sprinter ['sprinter', 'vehicle', 'mercedes']
vehicle.volkswagen.t2_2021 ['t2_2021', 'vehicle', 'volkswagen']
vehicle.bmw.grandtourer ['grandtourer', 'vehicle', 'bmw']
vehicle.tesla.cybertruck ['cybertruck', 'vehicle', 'tesla']
util.actor.empty ['empty', 'util', 'actor']
static.prop.colacan ['colacan', 'static', 'prop']
vehicle.carlamotors.european_hgv ['european_hgv', 'vehicle', 'carlamotors']
static.prop.maptable ['static', 'maptable', 'prop']
walker.pedestrian.0031 ['0031', 'walker', 'pedestrian']
sensor.camera.depth ['depth', 'sensor', 'camera']
walker.pedestrian.0027 ['0027', 'walker', 'pedestrian']
static.prop.garbage02 ['garbage02', 'static', 'prop']
sensor.camera.normals ['normals', 'sensor', 'camera']
vehicle.ford.crown ['crown', 'vehicle', 'ford']
walker.pedestrian.0045 ['0045', 'walker', 'pedestrian']
static.prop.calibrator ['calibrator', 'static', 'prop']
sensor.other.gnss ['gnss', 'sensor', 'other']
sensor.other.imu ['imu', 'sensor', 'other']
static.prop.container ['container', 'static', 'prop']
sensor.other.lane_invasion ['lane_invasion', 'sensor', 'other']
vehicle.audi.tt ['tt', 'vehicle', 'audi']
sensor.other.obstacle ['obstacle', 'sensor', 'other']
walker.pedestrian.0004 ['0004', 'walker', 'pedestrian']
vehicle.gazelle.omafiets ['omafiets', 'vehicle', 'gazelle']
sensor.lidar.ray_cast_semantic ['ray_cast_semantic', 'sensor', 'lidar']
sensor.camera.dvs ['dvs', 'sensor', 'camera']
sensor.other.rss ['sensor', 'rss', 'other']
vehicle.nissan.micra ['vehicle', 'micra', 'nissan']
static.prop.trafficcone01 ['trafficcone01', 'static', 'prop']
walker.pedestrian.0018 ['0018', 'walker', 'pedestrian']
static.prop.dirtdebris02 ['dirtdebris02', 'static', 'prop']
static.prop.box02 ['box02', 'static', 'prop']
static.prop.foodcart ['foodcart', 'static', 'prop']
static.prop.bin ['bin', 'static', 'prop']
walker.pedestrian.0030 ['0030', 'walker', 'pedestrian']
static.prop.trampoline ['trampoline', 'static', 'prop']
walker.pedestrian.0014 ['0014', 'walker', 'pedestrian']
walker.pedestrian.0035 ['0035', 'walker', 'pedestrian']
sensor.camera.rgb ['rgb', 'sensor', 'camera']
walker.pedestrian.0010 ['0010', 'walker', 'pedestrian']
static.prop.dirtdebris01 ['dirtdebris01', 'static', 'prop']
static.prop.trashcan03 ['trashcan03', 'static', 'prop']
static.prop.constructioncone ['constructioncone', 'static', 'prop']
static.prop.streetsign01 ['streetsign01', 'static', 'prop']
static.prop.wateringcan ['wateringcan', 'static', 'prop']
static.prop.garbage01 ['garbage01', 'static', 'prop']
static.prop.garbage03 ['garbage03', 'static', 'prop']
walker.pedestrian.0024 ['0024', 'walker', 'pedestrian']
vehicle.kawasaki.ninja ['ninja', 'vehicle', 'kawasaki']
walker.pedestrian.0051 ['walker', '0051', 'pedestrian']
walker.pedestrian.0022 ['walker', '0022', 'pedestrian']
walker.pedestrian.0047 ['0047', 'walker', 'pedestrian']
static.prop.plantpot02 ['plantpot02', 'static', 'prop']
static.prop.mailbox ['mailbox', 'static', 'prop']
static.prop.brokentile03 ['brokentile03', 'static', 'prop']
static.prop.plantpot01 ['plantpot01', 'static', 'prop']
walker.pedestrian.0007 ['0007', 'walker', 'pedestrian']
static.prop.bike helmet ['bike helmet', 'static', 'prop']
static.prop.trafficcone02 ['trafficcone02', 'static', 'prop']
static.prop.bench02 ['static', 'bench02', 'prop']
vehicle.mitsubishi.fusorosa ['fusorosa', 'vehicle', 'mitsubishi']
static.prop.trashcan01 ['trashcan01', 'static', 'prop']
static.prop.plasticchair ['plasticchair', 'static', 'prop']
static.prop.trashcan02 ['trashcan02', 'static', 'prop']
static.prop.haybale ['haybale', 'static', 'prop']
static.prop.clothcontainer ['clothcontainer', 'static', 'prop']
sensor.lidar.ray_cast ['ray_cast', 'sensor', 'lidar']
walker.pedestrian.0033 ['0033', 'walker', 'pedestrian']
